network file,match_name,type1,type2,nvitim,nexpl,connectance
abe,bac1,bacteria.phage,predation,10,4,0.55
depaola,bac10,bacteria.phage,predation,5,17,0.458823529
doi,bac11,bacteria.phage,predation,11,9,0.414141414
duplessis,bac12,bacteria.phage,predation,12,12,0.256944444
gamage,bac13,bacteria.phage,predation,4,5,0.45
goodridge,bac14,bacteria.phage,predation,49,2,0.612244898
bac15,bac15,bacteria.phage,predation,25,12,0.486666667
holmfeldt,bac16,bacteria.phage,predation,22,46,0.413043478
kankila,bac17,bacteria.phage,predation,31,12,0.930107527
krylov,bac18,bacteria.phage,predation,10,10,0.73
kudva,bac19,bacteria.phage,predation,11,3,1
barrangou,bac2,bacteria.phage,predation,7,6,0.595238095
langley,bac20,bacteria.phage,predation,33,9,0.333333333
mclaughlin,bac21,bacteria.phage,predation,5,6,0.6
meyer,bac22,bacteria.phage,predation,24,26,0.503205128
middelboe,bac23,bacteria.phage,predation,11,24,0.765151515
miklic,bac24,bacteria.phage,predation,18,14,0.277777778
mizoguchi,bac25,bacteria.phage,predation,7,4,0.75
pantucek,bac26,bacteria.phage,predation,88,4,0.914772727
paterson,bac27,bacteria.phage,predation,93,5,0.574193548
poullain,bac28,bacteria.phage,predation,24,23,0.19384058
quiberoni,bac29,bacteria.phage,predation,20,11,0.404545455
braunbreton,bac3,bacteria.phage,predation,17,3,0.588235294
rybniker,bac30,bacteria.phage,predation,15,14,0.333333333
seed,bac31,bacteria.phage,predation,10,6,0.516666667
stenholm,bac32,bacteria.phage,predation,24,22,0.659090909
sullivan,bac33,bacteria.phage,predation,20,44,0.168181818
suttle,bac34,bacteria.phage,predation,6,7,0.261904762
synott,bac35,bacteria.phage,predation,16,16,0.80859375
wang,bac36,bacteria.phage,predation,8,7,0.196428571
wichels,bac37,bacteria.phage,predation,59,22,0.244992296
zinno,bac38,bacteria.phage,predation,17,27,0.106753813
campbell,bac4,bacteria.phage,predation,5,5,0.56
capparelli,bac5,bacteria.phage,predation,16,8,0.421875
caso,bac6,bacteria.phage,predation,9,4,0.472222222
ceyssens,bac7,bacteria.phage,predation,4,12,0.604166667
comeau2005,bac8,bacteria.phage,predation,23,13,0.508361204
